Category,CategoryOrder,Display,Speak,Image,CategoryColor,TileColor,TileOrder,CategoryImage,BoardName,BoardColor,BoardImage
Needs,2,Sick,I feel sick.,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/sick_566_g.svg,#f04242,,8,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/I need help.png,Benny's Phrase Board,#5bb0ff,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Monster Truck-83f9921fc4.svg
Conversation,3,Yes,Yes,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/Y.png,#5cff67,,1,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/conversation_1.png,Benny's Phrase Board,#5bb0ff,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Monster Truck-83f9921fc4.svg
Conversation,3,No,No,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/No-09d75d7313.svg,#5cff67,,2,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/conversation_1.png,Benny's Phrase Board,#5bb0ff,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Monster Truck-83f9921fc4.svg
Conversation,3,HRU,How are you?,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/how.png,#5cff67,,3,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/conversation_1.png,Benny's Phrase Board,#5bb0ff,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Monster Truck-83f9921fc4.svg
Conversation,3,More,Can you tell me more?,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/more_169_g.svg,#5cff67,,4,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/conversation_1.png,Benny's Phrase Board,#5bb0ff,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Monster Truck-83f9921fc4.svg
Conversation,3,Likes,I like playing games and watching shows. I also like to go on walks and people watch. I love the color red and Spiderman is my favorite super hero.,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/like_9767_dd14ee88-7789-43b7-958d-c8d44a3e1458.svg,#5cff67,,5,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/conversation_1.png,Benny's Phrase Board,#5bb0ff,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Monster Truck-83f9921fc4.svg
Conversation,3,HBU,How about you? What do you like to do?,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/you.png.varianted-skin.png,#5cff67,,6,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/conversation_1.png,Benny's Phrase Board,#5bb0ff,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Monster Truck-83f9921fc4.svg
Conversation,3,New,What's new with you?,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/new.png,#5cff67,,7,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/conversation_1.png,Benny's Phrase Board,#5bb0ff,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Monster Truck-83f9921fc4.svg
Conversation,3,Nancy & Ari,Nancy and Ari can probably help with this information,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/can i help you.png.varianted-skin.png,#5cff67,,8,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/conversation_1.png,Benny's Phrase Board,#5bb0ff,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Monster Truck-83f9921fc4.svg
Google,4,Volume Down,Okay Google. Lower Volume by Ten Percent.,https://d18vdu4p71yql0.cloudfront.net/libraries/icomoon/arrow-down2.svg,#fc5cff,,1,https://d18vdu4p71yql0.cloudfront.net/libraries/icomoon/google.svg,Benny's Phrase Board,#5bb0ff,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Monster Truck-83f9921fc4.svg
Google,4,Volume Up,Okay Google. Increase Volume by Ten Percent.,https://d18vdu4p71yql0.cloudfront.net/libraries/icomoon/arrow-up2.svg,#fc5cff,,2,https://d18vdu4p71yql0.cloudfront.net/libraries/icomoon/google.svg,Benny's Phrase Board,#5bb0ff,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Monster Truck-83f9921fc4.svg
Google,4,Play Metal,Okay Google. Play Heavy Metal on Spotify.,https://d18vdu4p71yql0.cloudfront.net/libraries/icomoon/play2.svg,#fc5cff,,3,https://d18vdu4p71yql0.cloudfront.net/libraries/icomoon/google.svg,Benny's Phrase Board,#5bb0ff,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Monster Truck-83f9921fc4.svg
Google,4,Play Disturbed,Okay Google. Play Disturbed on Spotify.,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/Noise is disturbing me.png,#fc5cff,,4,https://d18vdu4p71yql0.cloudfront.net/libraries/icomoon/google.svg,Benny's Phrase Board,#5bb0ff,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Monster Truck-83f9921fc4.svg
Google,4,Next Song,Okay Google. Next Song.,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/next.png,#fc5cff,,5,https://d18vdu4p71yql0.cloudfront.net/libraries/icomoon/google.svg,Benny's Phrase Board,#5bb0ff,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Monster Truck-83f9921fc4.svg
Google,4,Song Info,Okay Google. What's this song?,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/song.png,#fc5cff,,6,https://d18vdu4p71yql0.cloudfront.net/libraries/icomoon/google.svg,Benny's Phrase Board,#5bb0ff,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Monster Truck-83f9921fc4.svg
Google,4,Weather,Okay Google. What's the weather today?,https://d18vdu4p71yql0.cloudfront.net/libraries/icon_archive/Weather.png,#fc5cff,,7,https://d18vdu4p71yql0.cloudfront.net/libraries/icomoon/google.svg,Benny's Phrase Board,#5bb0ff,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Monster Truck-83f9921fc4.svg
Google,4,Time,Okay Google. What time is it?,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Time-880d4b0e2b.svg,#fc5cff,,8,https://d18vdu4p71yql0.cloudfront.net/libraries/icomoon/google.svg,Benny's Phrase Board,#5bb0ff,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Monster Truck-83f9921fc4.svg
Google,4,Off,Okay Google. Off.,https://d18vdu4p71yql0.cloudfront.net/libraries/twemoji/1f4f4.svg,#fc5cff,,9,https://d18vdu4p71yql0.cloudfront.net/libraries/icomoon/google.svg,Benny's Phrase Board,#5bb0ff,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Monster Truck-83f9921fc4.svg
Google,4,Jokes,Okay Google. Tell me a joke.,https://d18vdu4p71yql0.cloudfront.net/libraries/arasaac/jokes.png.varianted-skin.png,#fc5cff,,10,https://d18vdu4p71yql0.cloudfront.net/libraries/icomoon/google.svg,Benny's Phrase Board,#5bb0ff,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Monster Truck-83f9921fc4.svg
Google,4,Fart,Okay Google. Fart for me.,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/fart_701_g.svg,#fc5cff,,11,https://d18vdu4p71yql0.cloudfront.net/libraries/icomoon/google.svg,Benny's Phrase Board,#5bb0ff,https://d18vdu4p71yql0.cloudfront.net/libraries/noun-project/Monster Truck-83f9921fc4.svg
